entity_id;sku;Status
793;A6051-Blanc;1
796;A6051-Noir;1
801;A6052-Blanc;1
803;A6052-Marron;1
804;A6052-Noir;1
809;A6053-Blanc;1
812;A6053-Noir;1
813;A6053-Rouge;1
817;A605V1-Noir;1
818;A605V1-Rouge;1
819;A605V2-Argent;1
821;A605V2-Noir;1
822;A605V2-Rouge;1
823;A605V3-Argent;1
825;A605V3-Noir;1
826;A605V3-Rouge;1
923;AT10013-Chrome;1
1004;B2219S-Blanc laqué;1
1052;B2219S-Bois wenge;1
1131;HB140-Blanc;1
1133;HB140-Noir;1
1140;HB160-Blanc;1
1142;HB160-Noir;1
1143;HB160-Taupe;1
1148;HB180-Beige;1
1149;HB180-Blanc;1
1150;HB180-Marron;1
1151;HB180-Noir;1
1152;HB180-Taupe;1
1247;XC8242-Blanc;1
1248;XC8242-Gris;1
1249;XC8242-Marron;1
1250;XC8242-Noir;1
1316;B2219S-Chêne Clair;1
1361;LUS006-Transparent;1
1362;LUS007-Transparent;1
1372;LUP003-Bleu;1
1420;A605V1-Taupe;1
1421;A605V2-Taupe;1
1422;A605V3-Taupe;1
1513;HB090-Blanc;1
1514;HB090-Noir;1
1516;HB090-Argent;1
1615;b2219staupelaque;1
1619;b2219xlblanc;1
1655;b2219snoircarbone;1
1693;sc2204lot2argent;1
1700;p803rougenoir;1
1705;p803blanc;1
1740;b2219svintage;1
1972;b2219staupe4gordonmarron;1
2067;7249lot2blanc;1
2083;a6051vintage;1
2084;a6052vintage;1
2085;a6053vintage;1
2306;sc2204lot4argent;1
2365;hb140gris;1
2366;hb160gris;1
2367;hb180gris;1
2409;lf155h140vtaupe;1
2413;lf155h160vargent;1
2414;lf155h160vtaupe;1
2417;lf155h180vargent;1
2418;lf155h180vtaupe;1
2434;lf155hvb121140beige;1
2435;lf155hvb121140taupe;1
2437;lf155hvb121160beige;1
2438;lf155hvb121160taupe;1
2439;lf155hvb121160gris;1
2440;lf155hvb121180beige;1
2442;lf155hvb121180gris;1
2466;lf159hvb121140beige;1
2467;lf159hvb121140taupe;1
2468;lf159hvb121140gris;1
2469;lf159hvb121160beige;1
2470;lf159hvb121160taupe;1
2471;lf159hvb121160gris;1
2472;lf159hvb121180beige;1
2474;lf159hvb121180gris;1
2586;2450132beige;1
2592;24501blackvnoir;1
2594;24501punoir;1
2595;24501publanc;1
2630;p803gris;1
2641;p804noir;1
2643;p804blanc;1
2644;p804taupe;1
2645;p804beige;1
2849;p804ashwood;1
2905;8055ebleu;1
2908;8311anoir;1
2999;at8027moroccogris;1
3018;4630lot2chenenoir;1
3020;4630lot2noisnoir;1
3021;4630lot2noisblanc;1
3028;1025lot2noisnoir;1
3031;1025lot2chenenoir;1
3034;l2081grisfonce;1
3073;lf3045sgblanc;1
3076;lf3045sdnoir;1
3252;dc5081beige;1
3322;24501ksf25002;1
3323;24501ksf25008;1
3324;24501ksf25013;1
3327;24501ksp25030;1
3415;dc5081bleu;1
3421;at8422cheneclair;1
3441;lsr16051grisclair;1
3510;at8428vintage;1
3520;24501f011;1
3587;dc5106yellow;1
3591;lf155h160vbeige;1
3653;hm1653multicolor;1
3679;2450132lot20beige;1
3683;24501lot20blackvnoir;1
3687;24501lot20punoir;1
3688;24501lot20publanc;1
3690;24501ksf25002lot20;1
3691;24501ksf25008lot20;1
3692;24501ksf25013lot20;1
3694;24501ksp25030lot20;1
3707;dc5106darkgrey;1
3708;dc5106beige;1
3797;2xgf225anatcreme;1
3804;2xgf160anoisblanc;1
3805;2xgf160anoisnoir;1
3807;2xgf347anatcreme;1
3809;2xgf347anoisnoir;1
3825;qh8805beige;1
3831;qh8801beige;1
3834;qh8801black;1
3836;qh8801blue;1
3844;qh8861darkgrey;1
3846;qh8861beige;1
3876;2601pinkvelevert;1
3886;2601ksf25002wb;1
3887;2601ksp25002;1
3939;angsoft17sawana21;1
3942;andsoft66sawana25;1
